Name group,Link posts
Lập Trình PyThon Cơ Bản - Machine Learning - Deep Learning,https://www.facebook.com/share/p/YRJF3p5gY3rLTRFP/
"Lập trình Python,C++,Java,...",https://www.facebook.com/share/p/2GT1rqVFWCPKLZy5/
Vietnamese Machine Learning Algorithm Developers,https://www.facebook.com/share/p/ibN6M1QUKA4MkT4z/
Học Viện ChatGPT Midjourney✅,https://www.facebook.com/share/p/a2HRrKZxFZ4iHCJN/
"Yêu Lập Trình - Cộng Đồng Lập Trình C++, C#, Java, Database, Python.....",https://www.facebook.com/share/p/wZ3CkpWo9u82S8vs/
Machine Learning for Vietnamese,https://www.facebook.com/share/p/QFsR8zmBNDj9oy6G/
Cộng đồng ChatGPT & Claude AI Việt Nam,https://www.facebook.com/share/p/rGcxkv3yPUF768Ga/
"Kiếm Tiền Từ AI (ChatGPT, Midjourney, Pictory.AI…)",https://www.facebook.com/share/p/dEF2EBmDjY79xYqQ/
Prompt Sora Open AI,https://www.facebook.com/share/p/hN4f7TKzigNLkFHK/
Best AI Tools - Chia sẽ & Ứng Dụng AI cho Doanh Nghiệp,https://www.facebook.com/share/p/wmea2797RHEugshY/
Tool AI dành cho dân công sở,https://www.facebook.com/share/p/J38cPqeVEC4ajv7g/
"AI, Machine Learning, Deep Learning in Vietnam",https://www.facebook.com/share/p/G8ZjiixHSX3sTDfs/
"Chia sẻ kiến thức lập trình - JAVA, JAVASCRIPT, C# ....",https://www.facebook.com/share/p/QCyDKY7jmCUrB9iB/
"Việc làm Java, PHP, Backend",https://www.facebook.com/share/p/aVWbYsg4dutkjgwe/
"Remote/Freelancer Job IT/Non IT (Java, Python, Golang, Mobile, PHP....)",https://www.facebook.com/share/p/9FhNmbhRDbmKd9K7/
"Lập Trình Fullstack, Frontend, Java, C#, Php, Reactjs, Android, IOS",https://www.facebook.com/share/p/inJguhDVi4o5gpjs/
JAVA JOBS,https://www.facebook.com/share/p/tPeuVQyy8LNLYB7H/
"Lập Trình Python, Java, JavaScript, C/C++, HTML, ... 💻✅",https://www.facebook.com/groups/822033469142331/permalink/1025141075498235/
"Lập trình web với html,css, php, laravel, nodejs",https://www.facebook.com/share/p/8fBUHMbnRcAPt6W1/
Headhunter IT Việt Nam,https://www.facebook.com/share/p/bd5XJ2gUgxiQkW3J/
Freelance/Remote IT Jobs Vietnam,https://www.facebook.com/share/p/NGDN8uGTaWKJHQfS/
Cộng Đồng Tiếng Nhật IT,https://www.facebook.com/share/p/XcGzkTWf4SmYbbs2/
"Tuyển dụng + Việc làm IT - Angular, IOS, Android, PHP, Java, BrSE,...",https://www.facebook.com/share/p/EomkL2hNuBL4DuEc/
IT Jobs Freelance - Tuyển Dụng IT - Fullstack - SusuDev -Tester Remote,https://www.facebook.com/share/p/q3t6Wqk2KXcRWgop/
"Việc làm IT QC, Tester, Manual test, Automation Test",https://www.facebook.com/share/p/t6QxkUaJccxKMA7W/
Việc làm IT,https://www.facebook.com/share/p/VnLP8gkA7xJHhWNF/
"Việc làm IT 💵( Developer 2D,3D game, Tester, Designer, Unreal Engine... )",https://www.facebook.com/share/p/YAqfxEoNnEUERs73/
"Việc làm IT ( Test, Dev, QA, SA, BA, Helpdesk...)",https://www.facebook.com/share/p/qSmuHRtdfn77mSFn/
https://www.facebook.com/groups/5097678227028214,https://www.facebook.com/share/p/4UKusscHPnqaFBvU/
"Prompt Engineering AI - Ứng dụng trong công việc | Gemini, ChatGPT",https://www.facebook.com/share/p/jWtJmAiYtzg5Ziym/
